Trace,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter128,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter16,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter32,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter64,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter8,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru128,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru16,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru32,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru64,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru8,ipc1_fdipChampSim_fdip_lru128,ipc1_fdipChampSim_fdip_lru16,ipc1_fdipChampSim_fdip_lru32,ipc1_fdipChampSim_fdip_lru64,ipc1_fdipChampSim_fdip_lru8,ipc1_fdipChampSim_fdip_opt128,ipc1_fdipChampSim_fdip_opt16,ipc1_fdipChampSim_fdip_opt32,ipc1_fdipChampSim_fdip_opt64,ipc1_fdipChampSim_fdip_opt8,ipc1_fdipChampSim_fdip_srrip128,ipc1_fdipChampSim_fdip_srrip16,ipc1_fdipChampSim_fdip_srrip32,ipc1_fdipChampSim_fdip_srrip64,ipc1_fdipChampSim_fdip_srrip8
client_001,1.53552,1.53548,1.53552,1.53552,1.5352,1.53552,1.53549,1.53552,1.53552,1.53541,1.53552,1.53552,1.53552,1.53552,1.53551,1.53552,1.53549,1.53552,1.53552,1.53532,1.53552,1.53551,1.53552,1.53552,1.53513
client_002,1.82176,1.82064,1.82209,1.82167,1.81624,1.82178,1.82032,1.82139,1.82171,1.81584,1.82178,1.817,1.82134,1.82138,1.80448,1.82174,1.82031,1.82106,1.82149,1.81663,1.82178,1.81874,1.82186,1.82169,1.80956
client_003,1.10523,1.10422,1.10495,1.10546,1.10381,1.10594,1.1051,1.10592,1.1061,1.10508,1.10429,1.1037,1.10384,1.10401,1.10398,1.10642,1.10444,1.10476,1.10651,1.10545,1.10635,1.10388,1.10424,1.10514,1.10355
client_004,1.44397,1.44725,1.44585,1.4465,1.4462,1.44686,1.45202,1.45122,1.44886,1.45111,1.45151,1.4451,1.45066,1.45189,1.44297,1.45705,1.46205,1.46068,1.45835,1.46193,1.45302,1.44874,1.45199,1.45142,1.44309
client_005,1.36046,1.35924,1.36008,1.36069,1.35645,1.3641,1.3623,1.36377,1.36467,1.35875,1.35373,1.35115,1.3529,1.3534,1.34822,1.35672,1.35864,1.35877,1.35778,1.35725,1.35587,1.35341,1.35478,1.35565,1.35009
client_006,1.46435,1.46296,1.46421,1.46408,1.46279,1.46435,1.46345,1.46384,1.46402,1.46282,1.46435,1.46334,1.46412,1.46429,1.46083,1.46435,1.46337,1.46392,1.46427,1.46264,1.46435,1.46319,1.46402,1.46428,1.46272
client_007,1.53405,1.5323,1.53423,1.532,1.53304,1.53445,1.53568,1.53351,1.53488,1.53404,1.53642,1.53764,1.53774,1.53779,1.53637,1.53619,1.53491,1.53473,1.53633,1.53634,1.53787,1.53942,1.53611,1.5374,1.53874
client_008,1.51439,1.51234,1.5135,1.51408,1.51229,1.51231,1.51232,1.51218,1.51187,1.51168,1.51158,1.5108,1.51122,1.51155,1.51057,1.51261,1.51275,1.51331,1.51323,1.51186,1.51171,1.51105,1.51154,1.51159,1.5108
server_001,1.51105,1.50583,1.50803,1.51046,1.50258,1.51108,1.50468,1.50945,1.5106,1.50093,1.51112,1.4981,1.50587,1.51091,1.48785,1.51098,1.50647,1.50939,1.51082,1.5022,1.51117,1.50243,1.50808,1.51035,1.49436
server_002,1.38261,1.38261,1.38261,1.38261,1.38261,1.38261,1.38261,1.38261,1.38261,1.38261,1.38261,1.38261,1.38262,1.38261,1.38259,1.38261,1.38261,1.38261,1.38261,1.3826,1.38261,1.38262,1.38262,1.38261,1.38259
server_003,1.37485,1.36693,1.36932,1.37298,1.3561,1.38112,1.3725,1.37422,1.37968,1.36408,1.37023,1.35018,1.36178,1.36334,1.34368,1.37177,1.37857,1.37922,1.37787,1.37388,1.3679,1.35602,1.36201,1.36623,1.34829
server_004,1.06208,1.05736,1.05988,1.06178,1.05237,1.0642,1.05898,1.06149,1.06332,1.05495,1.05775,1.03969,1.04742,1.05492,1.02813,1.0656,1.06112,1.0643,1.06473,1.057,1.06047,1.05002,1.056,1.05938,1.03981
server_009,1.11996,1.11024,1.11634,1.1185,1.1065,1.12008,1.11094,1.11729,1.11891,1.10722,1.11573,1.09719,1.10818,1.11353,1.08637,1.11689,1.1096,1.11452,1.11572,1.10502,1.1121,1.10261,1.1106,1.11134,1.0951
server_010,1.36549,1.35571,1.36105,1.32576,1.34557,1.36545,1.35522,1.3608,1.36423,1.34596,1.36187,1.32669,1.34743,1.35817,1.26931,1.32681,1.35709,1.36224,1.36407,1.31145,1.36385,1.34271,1.35631,1.36081,1.3252
server_011,1.65253,1.6435,1.64703,1.65404,1.6279,1.65947,1.64576,1.64972,1.65767,1.63246,1.6569,1.61423,1.6342,1.64496,1.59526,1.66588,1.65447,1.66099,1.66396,1.64359,1.65918,1.62234,1.64476,1.65209,1.61202
server_012,1.91162,1.8899,1.90135,1.90893,1.86745,1.91101,1.89099,1.90163,1.9076,1.86625,1.90467,1.8407,1.87456,1.89671,1.79566,1.90973,1.89419,1.90385,1.9078,1.876,1.90751,1.87511,1.89086,1.90286,1.83325
server_013,1.83907,1.80991,1.82272,1.835,1.78874,1.83667,1.80959,1.82429,1.83321,1.78878,1.81951,1.7655,1.79705,1.80677,1.7332,1.83408,1.81736,1.82743,1.83237,1.80321,1.82633,1.79244,1.8103,1.82145,1.75869
